Creditability,Account_Balance,Duration_of_Credit_monthly,Payment_Status_of_Previous_Credit,Credit_Amount,Length_of_current_employment,Guarantors,Duration_in_Current_address,Age_years,Concurrent_Credits,No_of_Credits_at_this_Bank
0,1,No Account,18,No_Problems,1049,2,No,4,21,Other_Bank,1
1,1,No Account,9,No_Problems,2799,3,No,2,36,Other_Bank,2
2,1,Have Account,12,Paid_Up,841,4,No,4,23,Other_Bank,1
3,1,No Account,12,No_Problems,2122,3,No,2,39,Other_Bank,2
4,1,No Account,12,No_Problems,2171,3,No,4,38,No_credit,2
5,1,No Account,10,No_Problems,2241,2,No,3,48,Other_Bank,2
6,1,No Account,8,No_Problems,3398,4,No,4,39,Other_Bank,2
7,1,No Account,6,No_Problems,1361,2,No,4,40,Other_Bank,1
8,1,Have Account,18,No_Problems,1098,1,No,4,65,Other_Bank,2
9,1,Have Account,24,Paid_Up,3758,1,No,4,23,Other_Bank,1
10,1,No Account,11,No_Problems,3905,3,No,2,36,Other_Bank,2
11,1,No Account,30,No_Problems,6187,4,No,4,24,Other_Bank,2
12,1,No Account,6,No_Problems,1957,4,No,4,31,Other_Bank,1
13,1,Have Account,48,No_Problems,7582,1,No,4,31,Other_Bank,1
14,1,No Account,18,Paid_Up,1936,4,No,4,23,Other_Bank,2
15,1,No Account,6,Paid_Up,2647,3,No,3,44,Other_Bank,1
16,1,No Account,11,No_Problems,3939,3,No,2,40,Other_Bank,2
17,1,Have Account,18,Paid_Up,3213,2,No,3,25,Other_Bank,1
18,1,Have Account,36,No_Problems,2337,5,No,4,36,Other_Bank,1
19,1,Have Account,11,No_Problems,7228,3,No,4,39,Other_Bank,2
20,1,No Account,6,No_Problems,3676,3,No,3,37,Other_Bank,3
21,1,Have Account,12,No_Problems,3124,2,No,3,49,No_credit,2
22,0,Have Account,36,Paid_Up,2384,2,No,1,33,Other_Bank,1
23,1,Have Account,12,No_Problems,1424,4,No,3,26,Other_Bank,1
24,1,No Account,6,No_Problems,4716,2,No,3,44,Other_Bank,2
25,1,Have Account,11,No_Problems,4771,4,No,4,51,Other_Bank,1
26,1,No Account,12,Paid_Up,652,5,No,4,24,Other_Bank,1
27,1,Have Account,9,No_Problems,1154,5,No,4,37,Other_Bank,3
28,1,Have Account,15,Paid_Up,3556,3,No,2,29,Other_Bank,1
29,1,Have Account,42,No_Problems,4796,5,No,4,56,Other_Bank,1
30,1,Have Account,30,No_Problems,3017,5,No,4,47,Other_Bank,1
31,1,Have Account,36,No_Problems,3535,4,No,4,37,Other_Bank,2
32,1,Have Account,36,No_Problems,6614,5,No,4,34,Other_Bank,2
33,1,Have Account,24,Paid_Up,1376,4,No,1,28,Other_Bank,1
34,1,No Account,15,Paid_Up,1721,2,No,3,36,Other_Bank,1
35,1,No Account,6,No_Problems,860,5,No,4,39,Other_Bank,2
36,1,Have Account,12,No_Problems,1495,5,No,1,38,Other_Bank,2
37,1,Have Account,12,No_Problems,1934,5,No,2,26,Other_Bank,2
38,1,Have Account,18,Paid_Up,3378,3,No,1,31,Other_Bank,1
39,1,Have Account,24,No_Problems,3868,5,No,2,41,Other_Bank,2
40,1,Have Account,12,No_Problems,996,4,No,4,23,Other_Bank,2
41,1,No Account,24,Paid_Up,1755,5,Yes,4,58,Other_Bank,1
42,1,Have Account,18,No_Problems,1028,3,No,3,36,Other_Bank,2
43,1,Have Account,24,No_Problems,2825,4,No,3,34,Other_Bank,2
44,1,Have Account,18,Paid_Up,1239,3,No,4,61,Other_Bank,1
45,0,No Account,18,Paid_Up,1216,2,No,3,23,Other_Bank,1
46,1,Have Account,24,Paid_Up,1258,4,No,1,25,Other_Bank,1
47,0,Have Account,18,No_Problems,1864,3,No,2,30,Other_Bank,2
48,1,Have Account,24,Paid_Up,1474,2,No,3,33,Other_Bank,1
49,1,No Account,24,No_Problems,1382,4,No,1,26,Other_Bank,2
50,1,Have Account,12,Paid_Up,640,3,No,2,49,Other_Bank,1
51,1,Have Account,36,Paid_Up,3919,3,No,2,23,Other_Bank,1
52,1,Have Account,9,No_Problems,1224,3,No,1,30,Other_Bank,2
53,1,Have Account,12,No_Problems,2331,5,Yes,4,49,Other_Bank,1
54,1,Have Account,24,Paid_Up,6313,5,No,4,41,Other_Bank,1
55,1,No Account,12,No_Problems,385,4,No,3,58,Other_Bank,4
56,1,Have Account,12,No_Problems,1655,5,No,4,63,Other_Bank,2
57,1,No Account,15,Paid_Up,1053,2,No,2,27,Other_Bank,1
58,1,Have Account,21,Paid_Up,3160,5,No,3,41,Other_Bank,1
59,1,Have Account,36,Paid_Up,3079,3,No,4,36,Other_Bank,1
60,1,Have Account,12,No_Problems,1163,3,No,4,44,Other_Bank,1
61,1,Have Account,24,Paid_Up,2679,2,No,1,29,Other_Bank,1
62,1,Have Account,48,No_Problems,3578,5,No,1,47,Other_Bank,1
63,1,Have Account,36,No_Problems,10875,5,No,2,45,Other_Bank,2
64,1,No Account,12,No_Problems,1344,3,No,2,43,Other_Bank,2
65,1,Have Account,6,No_Problems,1237,3,No,1,27,Other_Bank,2
66,1,Have Account,12,Paid_Up,3077,3,No,4,52,Other_Bank,1
67,1,Have Account,24,Paid_Up,2284,4,No,2,28,Other_Bank,1
68,1,Have Account,12,Paid_Up,1567,3,No,1,22,Other_Bank,1
69,1,Have Account,24,No_Problems,2032,5,No,4,60,Other_Bank,2
70,1,Have Account,21,No_Problems,2745,4,No,2,32,Other_Bank,2
71,1,Have Account,30,Paid_Up,1867,5,No,4,58,Other_Bank,1
72,1,Have Account,36,Paid_Up,2299,5,No,4,39,Other_Bank,1
73,1,Have Account,24,Paid_Up,929,4,No,2,31,Dept_Stores,1
74,1,Have Account,12,Paid_Up,3399,5,No,3,37,Other_Bank,1
75,1,Have Account,9,Paid_Up,2030,4,No,1,24,Other_Bank,1
76,1,Have Account,21,No_Problems,3275,5,No,4,36,Other_Bank,1
77,1,Have Account,24,No_Problems,1940,5,No,4,60,Other_Bank,1
78,1,No Account,21,No_Problems,1602,5,No,3,30,Other_Bank,2
79,1,Have Account,15,Paid_Up,1979,5,No,2,35,Other_Bank,1
80,1,Have Account,24,No_Problems,2022,3,No,4,37,Other_Bank,1
81,1,Have Account,36,No_Problems,3342,5,No,2,51,Other_Bank,1
82,1,Have Account,18,Paid_Up,5866,3,No,2,30,Other_Bank,2
83,1,Have Account,15,No_Problems,2360,3,No,2,36,Other_Bank,1
84,1,Have Account,15,No_Problems,1520,5,No,4,63,Other_Bank,1
85,1,No Account,12,Paid_Up,3651,3,No,3,31,Other_Bank,1
86,1,Have Account,24,No_Problems,2346,4,No,3,35,Other_Bank,2
87,1,Have Account,36,No_Problems,4454,3,No,4,34,Other_Bank,2
88,1,No Account,6,No_Problems,666,4,No,4,39,Other_Bank,2
89,1,Have Account,24,No_Problems,1965,3,No,4,42,Other_Bank,2
90,1,Have Account,12,No_Problems,1995,2,No,1,27,Other_Bank,1
91,1,Have Account,30,Paid_Up,2991,5,No,4,25,Other_Bank,1
92,1,Have Account,30,No_loan_history,4221,3,No,1,28,Other_Bank,2
93,1,No Account,9,Paid_Up,1364,4,No,4,59,Other_Bank,1
94,1,Have Account,18,No_Problems,6361,5,No,1,41,Other_Bank,1
95,1,Have Account,27,No_Problems,4526,2,No,2,32,Dept_Stores,2
96,1,Have Account,12,No_Problems,3573,3,No,1,23,Other_Bank,1
97,0,Have Account,36,No_Problems,4455,3,No,2,30,Dept_Stores,2
98,1,No Account,9,Paid_Up,2136,3,No,2,25,Other_Bank,1
99,1,Have Account,42,No_Problems,5954,4,No,1,41,No_credit,2
100,1,Have Account,24,No_Problems,3777,3,No,4,40,Other_Bank,1
101,1,No Account,15,Paid_Up,806,3,No,4,22,Other_Bank,1
102,1,Have Account,24,No_Problems,4712,3,No,2,34,No_credit,2
103,1,Have Account,36,No_Problems,7432,3,No,2,54,Other_Bank,1
104,1,Have Account,24,No_Problems,1851,4,Yes,2,33,Other_Bank,2
105,1,Have Account,24,Paid_Up,1393,3,Yes,2,31,Other_Bank,1
106,1,Have Account,12,No_Problems,1412,3,Yes,2,29,Other_Bank,2
107,1,Have Account,18,Paid_Up,1473,2,No,4,39,Other_Bank,1
108,1,Have Account,24,Paid_Up,1533,2,No,3,38,Dept_Stores,1
109,1,Have Account,12,No_Problems,2012,4,No,2,61,Other_Bank,1
110,0,No Account,15,Paid_Up,3959,3,No,2,29,Other_Bank,1
111,1,No Account,6,Paid_Up,428,5,No,1,49,No_credit,1
112,1,Have Account,12,No_Problems,2366,4,No,3,36,Other_Bank,1
113,1,Have Account,12,Paid_Up,763,3,No,1,26,Other_Bank,1
114,1,Have Account,21,Paid_Up,3976,4,No,3,35,Other_Bank,1
115,1,Have Account,18,Paid_Up,6260,4,No,3,28,Other_Bank,1
116,1,Have Account,9,No_Problems,1919,4,No,3,35,Other_Bank,1
117,1,Have Account,24,Paid_Up,2603,3,No,4,28,Other_Bank,1
118,1,Have Account,9,No_Problems,936,5,No,2,52,Other_Bank,2
119,1,Have Account,24,Paid_Up,3062,5,No,3,32,Other_Bank,1
120,1,Have Account,36,Paid_Up,4795,2,No,1,30,Other_Bank,1
121,1,Have Account,36,No_Problems,5842,5,No,2,35,Other_Bank,2
122,1,Have Account,6,Paid_Up,2063,2,No,3,30,Other_Bank,1
123,1,Have Account,15,No_Problems,1459,3,No,2,43,Other_Bank,1
124,1,Have Account,15,Paid_Up,1213,5,No,3,47,Dept_Stores,1
125,1,Have Account,24,No_Problems,5103,2,No,3,47,Other_Bank,3
126,1,Have Account,15,Paid_Up,874,2,No,1,24,Other_Bank,1
127,1,Have Account,6,Paid_Up,2978,3,No,2,32,Other_Bank,1
128,1,Have Account,18,Paid_Up,1820,3,No,2,30,Other_Bank,1
129,1,Have Account,24,No_Problems,2872,5,No,4,36,Other_Bank,1
130,1,Have Account,24,Paid_Up,1925,3,No,2,26,Other_Bank,1
131,1,Have Account,18,Paid_Up,2515,3,No,4,43,Other_Bank,1
132,1,Have Account,6,Paid_Up,2116,3,No,2,41,Other_Bank,1
133,1,Have Account,18,Paid_Up,1453,2,No,1,26,Other_Bank,1
134,1,Have Account,10,Paid_Up,1364,3,No,4,64,Other_Bank,1
135,1,Have Account,6,Paid_Up,1543,3,No,2,33,Other_Bank,1
136,1,Have Account,12,Paid_Up,1318,5,No,4,54,Other_Bank,1
137,1,No Account,24,Some_Problems,2325,4,No,3,32,No_credit,1
138,1,Have Account,6,No_Problems,932,4,No,3,39,Other_Bank,2
139,1,Have Account,24,No_Problems,3148,3,No,2,31,Other_Bank,2
140,1,Have Account,36,Paid_Up,3835,5,No,4,45,Other_Bank,1
141,1,Have Account,9,Paid_Up,3832,5,No,4,64,Other_Bank,1
142,1,Have Account,24,Paid_Up,5084,5,No,4,42,Other_Bank,1
143,1,Have Account,9,No_Problems,2406,1,No,3,31,Other_Bank,1
144,1,Have Account,36,Paid_Up,2394,3,No,4,25,Other_Bank,1
145,1,Have Account,21,Paid_Up,2476,5,No,4,46,Other_Bank,1
146,1,No Account,24,Paid_Up,2964,5,No,4,49,No_credit,1
147,1,No Account,12,Paid_Up,1262,5,No,4,49,Other_Bank,1
148,1,Have Account,12,Paid_Up,1542,4,No,4,36,Other_Bank,1
149,1,Have Account,24,No_Problems,1743,5,No,2,48,Other_Bank,2
150,1,Have Account,12,Some_Problems,409,3,No,3,42,Other_Bank,2
151,1,Have Account,12,Paid_Up,2171,2,No,2,29,No_credit,1
152,1,Have Account,48,No_Problems,8858,4,No,1,35,Other_Bank,2
153,1,Have Account,24,Paid_Up,3512,4,No,3,38,No_credit,2
154,1,Have Account,12,Paid_Up,1158,3,No,1,26,Other_Bank,1
155,1,Have Account,24,No_Problems,2684,3,No,2,35,Other_Bank,2
156,1,No Account,12,Paid_Up,1498,3,No,1,23,No_credit,1
157,1,Have Account,30,No_Problems,5954,4,Yes,2,38,Other_Bank,1
158,0,Have Account,48,Some_Problems,6416,5,No,3,59,Other_Bank,1
159,1,Have Account,12,No_Problems,3617,5,No,4,28,Other_Bank,3
160,1,Have Account,12,No_Problems,1291,3,No,2,35,Other_Bank,2
161,1,Have Account,24,No_Problems,1275,3,No,4,36,Other_Bank,2
162,1,Have Account,24,Paid_Up,3972,4,No,4,25,Other_Bank,1
163,1,Have Account,15,No_Problems,3343,3,No,2,28,Other_Bank,1
164,1,Have Account,15,Paid_Up,392,2,No,4,23,Other_Bank,1
165,1,Have Account,9,No_Problems,2134,3,No,4,48,Other_Bank,3
166,1,Have Account,30,No_Problems,5771,4,No,2,25,Other_Bank,2
167,1,Have Account,24,No_Problems,4526,3,No,2,74,Other_Bank,1
168,1,Have Account,15,No_Problems,2788,4,Yes,3,24,No_credit,2
169,1,Have Account,6,No_Problems,1382,3,No,1,28,Other_Bank,2
170,1,Have Account,36,Paid_Up,5848,3,No,1,24,Other_Bank,1
171,0,No Account,12,Paid_Up,1228,3,No,2,24,Other_Bank,1
172,1,Have Account,12,Paid_Up,1297,3,No,4,23,Other_Bank,1
173,1,Have Account,24,Paid_Up,1552,4,No,1,32,No_credit,1
174,1,Have Account,12,Paid_Up,1963,4,No,2,31,Other_Bank,2
175,1,Have Account,24,Paid_Up,3235,5,No,2,36,Other_Bank,1
176,1,Have Account,24,No_Problems,4139,3,No,3,27,Other_Bank,2
177,1,Have Account,12,No_Problems,1804,2,No,4,44,Other_Bank,1
178,1,Have Account,18,Paid_Up,1950,4,No,1,34,Dept_Stores,2
179,1,Have Account,48,No_Problems,12749,4,No,1,37,Other_Bank,1
180,1,Have Account,9,Paid_Up,1236,2,No,4,23,Other_Bank,1
181,1,Have Account,18,No_Problems,1055,2,No,1,30,Other_Bank,2
182,1,No Account,30,No_loan_history,8072,2,No,3,25,No_credit,3
183,1,Have Account,30,No_Problems,2831,3,No,2,33,Other_Bank,1
184,1,Have Account,9,Paid_Up,1449,4,No,2,27,Other_Bank,2
185,1,Have Account,36,Paid_Up,5742,4,No,2,31,Other_Bank,2
186,1,Have Account,12,Paid_Up,2390,5,No,3,50,Other_Bank,1
187,1,Have Account,24,Paid_Up,3430,5,No,2,31,Other_Bank,1
188,1,Have Account,36,Paid_Up,2273,4,No,1,32,Other_Bank,2
189,1,Have Account,21,Paid_Up,2923,3,No,1,28,No_credit,1
190,1,Have Account,24,Paid_Up,1901,3,No,4,29,Other_Bank,1
191,1,Have Account,36,Paid_Up,3711,3,No,2,27,Other_Bank,1
192,1,Have Account,48,Paid_Up,8487,4,No,2,24,Other_Bank,1
193,1,Have Account,24,Paid_Up,2255,2,No,1,54,Other_Bank,1
194,1,Have Account,12,Paid_Up,1262,3,No,2,25,Other_Bank,1
195,1,Have Account,33,No_Problems,7253,4,No,2,35,Other_Bank,2
196,1,Have Account,6,No_Problems,6761,4,No,3,45,Other_Bank,2
197,1,Have Account,18,No_Problems,1817,3,No,2,28,Other_Bank,2
198,1,Have Account,12,Paid_Up,2141,4,No,1,35,Other_Bank,1
199,1,Have Account,48,Some_Problems,3609,3,No,1,27,Dept_Stores,1
200,1,Have Account,30,Paid_Up,2333,5,No,2,30,No_credit,1
201,1,Have Account,28,Some_Problems,7824,2,Yes,4,40,No_credit,2
202,1,Have Account,18,Some_Problems,1445,4,No,4,49,No_credit,1
203,1,No Account,24,Paid_Up,7721,2,No,2,30,Other_Bank,1
204,1,No Account,21,Paid_Up,3763,4,Yes,2,24,Other_Bank,1
205,1,Have Account,18,Paid_Up,4439,5,Yes,1,33,No_credit,1
206,1,No Account,12,Paid_Up,1107,3,No,2,20,Other_Bank,1
207,1,Have Account,15,Paid_Up,1444,2,No,1,23,Other_Bank,1
208,1,Have Account,48,Some_Problems,12169,1,Yes,4,36,Other_Bank,1
209,1,Have Account,9,Paid_Up,2753,5,Yes,4,35,Other_Bank,1
210,1,Have Account,4,Paid_Up,1494,2,No,2,29,Other_Bank,1
211,1,No Account,24,Some_Problems,2828,3,No,4,22,Dept_Stores,1
212,1,No Account,24,Some_Problems,2483,3,No,4,22,Dept_Stores,1
213,1,Have Account,6,No_Problems,1299,3,No,1,74,Other_Bank,3
214,1,Have Account,9,Paid_Up,1549,2,No,2,35,Other_Bank,1
215,1,Have Account,10,Paid_Up,3949,2,Yes,1,37,Other_Bank,1
216,1,Have Account,10,Paid_Up,2901,2,No,4,31,Other_Bank,1
217,1,Have Account,6,Paid_Up,709,2,No,2,27,Other_Bank,1
218,1,No Account,47,Paid_Up,10722,2,No,1,35,Other_Bank,1
219,1,Have Account,10,Paid_Up,1287,5,Yes,2,45,Other_Bank,1
220,1,No Account,18,Some_Problems,1940,2,Yes,4,36,No_credit,1
221,1,Have Account,30,No_Problems,3656,5,No,4,49,Dept_Stores,2
222,1,Have Account,24,No_Problems,4679,4,No,3,35,Other_Bank,2
223,1,Have Account,27,No_Problems,8613,3,No,2,27,Other_Bank,2
224,1,No Account,18,Paid_Up,2659,3,No,2,28,Other_Bank,1
225,1,Have Account,24,No_Problems,1516,3,No,1,43,Other_Bank,2
226,1,No Account,18,Paid_Up,4380,3,No,4,35,Other_Bank,1
227,1,Have Account,14,No_Problems,802,3,No,2,27,Other_Bank,2
228,1,Have Account,21,Paid_Up,1572,5,No,4,36,No_credit,1
229,1,Have Account,48,Some_Problems,3566,4,No,2,30,Other_Bank,1
230,1,Have Account,24,Paid_Up,1278,5,No,1,36,Other_Bank,1
231,1,Have Account,6,No_loan_history,426,5,No,4,39,Other_Bank,1
232,1,Have Account,39,Paid_Up,8588,5,No,2,45,Other_Bank,1
233,1,No Account,30,Paid_Up,3857,3,No,4,40,Other_Bank,1
234,0,Have Account,12,Paid_Up,685,4,No,3,25,No_credit,1
235,1,No Account,24,Paid_Up,1603,5,No,4,55,Other_Bank,1
236,1,Have Account,21,Paid_Up,2241,5,No,2,50,Other_Bank,2
237,1,No Account,24,Paid_Up,2384,5,No,4,64,No_credit,1
238,1,Have Account,4,Paid_Up,601,2,No,3,23,Other_Bank,1
239,1,Have Account,39,Paid_Up,2569,3,No,4,24,Other_Bank,1
240,1,Have Account,15,No_Problems,1316,3,No,2,47,Other_Bank,2
241,1,Have Account,60,Paid_Up,10366,5,No,4,42,Other_Bank,1
242,1,Have Account,18,Paid_Up,1568,3,No,4,24,Other_Bank,1
243,1,Have Account,18,No_Problems,629,5,No,3,32,No_credit,2
244,1,Have Account,6,Some_Problems,1750,5,No,4,45,No_credit,1
245,1,Have Account,24,Paid_Up,3488,4,No,4,23,Other_Bank,1
246,1,Have Account,18,No_Problems,1800,3,No,2,24,Other_Bank,2
247,1,Have Account,24,No_Problems,4151,3,No,3,35,Other_Bank,2
248,1,Have Account,15,Paid_Up,2631,3,No,2,25,Other_Bank,1
249,1,Have Account,21,Paid_Up,5248,3,No,3,26,Other_Bank,1
250,1,Have Account,18,No_Problems,2899,5,No,4,43,Other_Bank,1
251,1,Have Account,18,No_Problems,6204,3,No,4,44,Other_Bank,1
252,1,Have Account,12,Paid_Up,804,5,No,4,38,Other_Bank,1
253,1,Have Account,36,Paid_Up,3595,5,No,2,28,Other_Bank,1
254,1,Have Account,36,No_Problems,5711,5,No,2,38,Other_Bank,2
255,1,Have Account,15,Paid_Up,2687,4,No,4,26,Other_Bank,1
256,1,No Account,15,No_Problems,3643,5,No,4,27,Other_Bank,2
257,1,Have Account,10,No_Problems,2146,2,No,3,23,Other_Bank,2
258,1,No Account,10,Paid_Up,2315,5,No,4,52,Other_Bank,1
259,1,Have Account,5,Paid_Up,3448,4,No,4,74,Other_Bank,1
260,1,Have Account,15,Paid_Up,2708,2,No,3,27,No_credit,2
261,1,Have Account,11,No_Problems,1393,2,No,4,35,Other_Bank,2
262,1,Have Account,10,Paid_Up,1275,2,No,2,23,Other_Bank,1
263,1,Have Account,9,Paid_Up,1313,5,No,4,20,Other_Bank,1
264,1,Have Account,12,Paid_Up,1493,2,No,3,34,Other_Bank,1
265,1,Have Account,22,Paid_Up,2675,5,No,4,40,Other_Bank,1
266,1,Have Account,9,Paid_Up,2118,3,No,2,37,Other_Bank,1
267,1,Have Account,36,Paid_Up,909,5,No,4,36,Other_Bank,1
268,1,Have Account,12,No_Problems,1258,2,No,4,22,Other_Bank,2
269,1,Have Account,15,Some_Problems,1569,5,No,4,34,No_credit,1
270,1,Have Account,6,Paid_Up,1236,3,No,4,50,Other_Bank,1
271,1,Have Account,36,No_Problems,7678,4,No,4,40,Other_Bank,2
272,1,Have Account,6,Paid_Up,660,4,No,4,23,Other_Bank,1
273,1,Have Account,24,Paid_Up,2835,5,No,4,53,Other_Bank,1
274,1,Have Account,24,Paid_Up,2670,5,No,4,35,Other_Bank,1
275,1,Have Account,12,Some_Problems,3447,3,No,3,35,Other_Bank,1
276,1,Have Account,15,Paid_Up,3568,5,No,2,54,No_credit,1
277,1,Have Account,21,No_Problems,3652,4,No,3,27,Other_Bank,2
278,1,No Account,24,Paid_Up,3660,3,No,4,28,Other_Bank,1
279,1,Have Account,9,Paid_Up,1126,5,No,4,49,Other_Bank,1
280,1,Have Account,6,No_Problems,683,2,No,1,29,No_credit,1
281,1,Have Account,12,Paid_Up,2251,3,No,2,46,Other_Bank,1
282,1,Have Account,12,Paid_Up,4675,2,No,4,20,Other_Bank,1
283,1,Have Account,21,No_Problems,2353,3,No,4,47,Other_Bank,2
284,1,No Account,21,Paid_Up,3357,2,No,2,29,No_credit,1
285,1,Have Account,6,Paid_Up,672,1,No,4,54,Other_Bank,1
286,1,No Account,6,No_Problems,338,5,No,4,52,Other_Bank,2
287,1,Have Account,9,Paid_Up,2697,3,No,2,32,Other_Bank,1
288,1,Have Account,9,Paid_Up,2507,5,No,4,51,Other_Bank,1
289,1,Have Account,15,No_Problems,1478,3,No,3,33,No_credit,2
290,1,Have Account,12,No_Problems,3565,2,No,1,37,Other_Bank,2
291,1,Have Account,15,Paid_Up,2221,3,No,4,20,Other_Bank,1
292,1,Have Account,6,No_Problems,1898,3,No,2,34,Other_Bank,2
293,1,Have Account,6,No_Problems,1449,5,No,2,31,No_credit,2
294,1,Have Account,15,No_Problems,960,4,No,2,30,Other_Bank,2
295,1,Have Account,36,Paid_Up,8133,3,No,2,30,No_credit,1
296,1,Have Account,9,Paid_Up,2301,2,No,4,22,Other_Bank,1
297,1,Have Account,6,No_Problems,1743,3,No,2,34,Other_Bank,2
298,1,Have Account,12,Paid_Up,983,2,No,4,19,Other_Bank,1
299,1,Have Account,18,No_Problems,2320,1,No,3,34,Other_Bank,2
300,1,No Account,12,Some_Problems,339,5,No,1,45,No_credit,1
301,1,Have Account,24,Paid_Up,5152,4,No,2,25,No_credit,1
302,1,Have Account,24,Paid_Up,3749,2,No,4,26,Other_Bank,1
303,1,Have Account,9,No_Problems,3074,3,No,2,33,Other_Bank,2
304,0,Have Account,9,Paid_Up,745,3,No,2,28,Other_Bank,1
305,1,Have Account,24,Paid_Up,1469,5,No,4,41,Other_Bank,1
306,1,No Account,6,Paid_Up,1374,3,No,2,36,No_credit,1
307,1,Have Account,6,Some_Problems,783,3,Yes,2,26,Dept_Stores,1
308,1,No Account,21,Paid_Up,2606,2,No,4,28,Other_Bank,1
309,1,Have Account,54,No_loan_history,9436,3,No,2,39,Other_Bank,1
310,1,Have Account,12,No_Problems,930,5,No,4,65,Other_Bank,4
311,1,Have Account,48,No_Problems,2751,5,No,3,38,Other_Bank,2
312,1,Have Account,6,No_Problems,250,3,No,2,41,No_credit,2
313,1,Have Account,24,Paid_Up,1201,2,No,1,26,Other_Bank,1
314,1,No Account,6,Paid_Up,662,2,No,4,41,Other_Bank,1
315,1,Have Account,15,Paid_Up,1300,5,No,4,45,No_credit,1
316,1,Have Account,24,Some_Problems,1559,4,No,4,40,No_credit,1
317,1,Have Account,12,Paid_Up,3016,3,No,1,24,Other_Bank,1
318,1,Have Account,15,No_Problems,1360,3,No,2,31,Other_Bank,2
319,1,Have Account,6,No_loan_history,1204,3,No,1,35,No_credit,1
320,1,Have Account,10,Paid_Up,1597,3,No,2,40,Other_Bank,1
321,1,Have Account,12,Paid_Up,2073,3,Yes,2,28,Other_Bank,1
322,1,Have Account,11,Paid_Up,2142,5,No,2,28,Other_Bank,1
323,1,No Account,10,No_Problems,2132,2,Yes,3,27,Other_Bank,2
324,1,Have Account,10,Paid_Up,1546,3,No,2,31,Other_Bank,1
325,1,Have Account,24,No_Problems,1287,5,No,4,37,Other_Bank,2
326,1,Have Account,10,Paid_Up,1418,3,No,2,35,Other_Bank,1
327,1,Have Account,6,No_Problems,1343,5,No,4,46,Other_Bank,2
328,1,Have Account,18,Paid_Up,2662,4,No,3,32,Other_Bank,1
329,1,Have Account,18,No_Problems,6070,5,No,4,33,Other_Bank,2
330,1,Have Account,24,No_Problems,1927,3,No,2,33,Other_Bank,2
